mule_id,title,brand,category,price_krw,condition,country_code,reg_date,is_sold,crawled_at
10358385_aug_10267,On-Stage KSP100 Keyboard Sustain Pedal,On-Stage,synthesizer,55400,good,GB,2023-05-07T00:00:00Z,False,2026-06-01 02:51:24.912100
10358385_aug_128387,On-Stage KSP100 Keyboard Sustain Pedal,On-Stage,synthesizer,47200,excellent,KR,2023-02-25T00:00:00Z,False,2026-06-01 02:51:24.912100
10358385_aug_169772,On-Stage KSP100 Keyboard Sustain Pedal,On-Stage,synthesizer,50600,excellent,US,2023-12-15T00:00:00Z,False,2026-06-01 02:51:24.912100
10358385_aug_171518,On-Stage KSP100 Keyboard Sustain Pedal,On-Stage,synthesizer,57500,excellent,GB,2023-01-25T00:00:00Z,True,2026-06-01 02:51:24.912100
10358385_aug_19098,On-Stage KSP100 Keyboard Sustain Pedal,On-Stage,synthesizer,58200,excellent,US,2023-12-01T00:00:00Z,False,2026-06-01 02:51:24.912100
10358385_aug_2063,On-Stage KSP100 Keyboard Sustain Pedal,On-Stage,synthesizer,55500,excellent,KR,2023-04-14T00:00:00Z,False,2026-06-01 02:51:24.912100
10358385_aug_211330,On-Stage KSP100 Keyboard Sustain Pedal,On-Stage,synthesizer,47700,excellent,US,2023-01-25T00:00:00Z,False,2026-06-01 02:51:24.912100
10358385_aug_224221,On-Stage KSP100 Keyboard Sustain Pedal,On-Stage,synthesizer,55500,excellent,GB,2023-07-17T00:00:00Z,False,2026-06-01 02:51:24.912100
10358385_aug_228564,On-Stage KSP100 Keyboard Sustain Pedal,On-Stage,synthesizer,60700,very-good,KR,2023-12-19T00:00:00Z,False,2026-06-01 02:51:24.912100
10358385_aug_238461,On-Stage KSP100 Keyboard Sustain Pedal,On-Stage,synthesizer,51100,mint,US,2023-05-30T00:00:00Z,False,2026-06-01 02:51:24.912100
10358385_aug_260388,On-Stage KSP100 Keyboard Sustain Pedal,On-Stage,synthesizer,53800,fair,US,2023-03-16T00:00:00Z,False,2026-06-01 02:51:24.912100
10358385_aug_273952,On-Stage KSP100 Keyboard Sustain Pedal,On-Stage,synthesizer,57500,mint,AU,2023-01-05T00:00:00Z,False,2026-06-01 02:51:24.912100
10358385_aug_278743,On-Stage KSP100 Keyboard Sustain Pedal,On-Stage,synthesizer,51500,excellent,US,2023-01-16T00:00:00Z,False,2026-06-01 02:51:24.912100
